,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 2098)",0,0,3,0,0,1,0
"('cell', 2104)",0,0,2,1,0,1,0
"('cell', 2074)",0,0,2,0,0,0,0
"('cell', 2053)",0,0,2,0,0,0,0
"('cell', 2040)",0,0,1,0,0,0,0
"('cell', 2052)",0,0,4,0,0,1,0
"('cell', 2360)",0,0,0,0,2,3,0
"('cell', 2294)",0,0,0,0,0,1,0
"('cell', 2224)",0,0,0,1,0,0,0
"('cell', 2142)",0,0,0,1,0,0,0
"('cell', 2523)",0,0,1,0,1,4,0
"('cell', 2297)",0,0,0,0,1,0,0
"('cell', 2184)",0,0,1,0,0,0,0
"('cell', 2512)",0,0,0,1,0,3,1
"('cell', 2492)",0,0,0,1,0,3,0
"('cell', 2513)",0,0,0,1,0,1,0
"('cell', 2407)",0,0,1,0,1,6,1
"('cell', 2537)",0,0,1,1,1,4,1
"('cell', 2532)",0,0,1,0,1,4,1
"('cell', 1463)",0,0,1,0,2,0,4
"('cell', 1309)",0,0,2,0,1,1,3
"('cell', 1414)",0,0,3,0,1,3,2
"('cell', 1421)",0,1,3,0,3,3,0
"('cell', 299)",0,0,0,2,0,0,0
"('cell', 286)",0,0,0,2,0,0,0
"('cell', 324)",0,0,0,2,0,0,0
"('cell', 245)",0,0,0,2,0,0,0
"('cell', 322)",0,0,0,1,0,0,0
"('cell', 300)",0,0,0,2,0,0,0
"('cell', 402)",0,0,1,1,0,0,0
