trial,N,n,p,K,vanilla_err,vanilla_acc,splsi_err,splsi_acc,slda_err,slda_acc,time_v,time_splsi,time_slda,spatial_lambd
41,100,1000,20,3,8.782856373370537,0.828,4.626480108888616,0.889,14.507431132742806,0.519,0.0200729370117187,28.028810501098633,82.51920008659363,0.022182364274231
42,100,1000,20,3,6.361712948787994,0.879,3.422796234865685,0.893,18.11085361107897,0.452,0.0202245712280273,27.25543451309204,83.20655083656311,0.022182364274231
43,100,1000,20,3,6.707746950510622,0.867,3.284486846346331,0.901,17.184370103314837,0.449,0.0199906826019287,24.15140199661255,82.66655659675598,0.0164313809438748
44,100,1000,20,3,6.69721476110978,0.947,3.425388064673503,0.97,18.837273382061476,0.535,0.0200014114379882,27.412029266357425,82.95663213729858,0.022182364274231
45,100,1000,20,3,7.577746469983511,0.921,3.2016781889811092,0.966,16.587267368647517,0.58,0.020047903060913,34.73348140716553,83.36207866668701,0.0121713932917591
46,100,1000,20,3,6.058652380777666,0.935,3.4288070725524697,0.978,14.567181538183188,0.648,0.0201442241668701,42.57386326789856,82.6063015460968,0.022182364274231
47,100,1000,20,3,5.815853082837956,0.892,3.4966828311728846,0.946,15.283233918727836,0.54,0.0198712348937988,27.2500216960907,82.5614652633667,0.022182364274231
48,100,1000,20,3,6.367299478144968,0.936,2.9119840607535226,0.967,15.472928980656066,0.628,0.0200183391571044,47.953073263168335,81.25042009353638,0.0164313809438748
49,100,1000,20,3,6.665590034050923,0.95,3.017208992433768,0.976,16.14408518040482,0.639,0.0201857089996337,44.28921175003052,82.66705536842346,0.0121713932917591
0,50,1000,20,3,7.012688368378868,0.833,3.320188414393538,0.918,16.529301167261554,0.479,0.0227737426757812,58.55711650848389,82.30005145072937,0.022182364274231
1,50,1000,20,3,7.954460967811721,0.891,3.705588125502432,0.982,14.80039140954174,0.654,0.0207281112670898,37.519633769989014,82.06857562065125,0.0299461917702118
2,50,1000,20,3,9.534622623794458,0.83,4.972402195333777,0.938,17.417367258421226,0.449,0.0203413963317871,46.45010447502136,81.25381302833557,0.022182364274231
4,50,1000,20,3,8.381856054729818,0.842,4.25394178897166,0.88,15.000453907449025,0.662,0.0204799175262451,37.99113702774048,83.1660692691803,0.022182364274231
5,50,1000,20,3,8.073398492873354,0.861,3.749704728821716,0.953,16.76706786696537,0.537,0.0208148956298828,49.094890117645264,82.0850784778595,0.022182364274231
